"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "Log", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S1ZipCode.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S1ZipCode.jsx", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 57, 16, 214
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S2VehicleYear.css", "CSS", 0, 0, 0, 0, 0, 98, 0, 1, 17, 116
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S2VehicleYear.jsx", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 8, 15, 153
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S3VehicleName.jsx", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 12, 10, 132
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S4VehicleModel.jsx", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 59, 16, 157
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S5PrimaryUse.jsx", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 2, 6, 78
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S6AnnualMileage.jsx", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 2, 8, 92
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S7CoverageLevel.jsx", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 2, 11, 95
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S8Ownership.jsx", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 2, 10, 88
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\S9AddAnother.jsx", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 1, 12, 110
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\components\Succeess.jsx", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 6, 4, 17
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\logo.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\lotties\20164-success.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\lotties\21751-circular-progress-bar.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\lotties\33657-loading.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\lotties\33891-download-count.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\serviceWorker.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 31, 13, 142
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\setupProxy.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\15209\Desktop\qhAutoFinal-v1\models\Car.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\15209\Desktop\qhAutoFinal-v1\models\ZipCode.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\15209\Desktop\qhAutoFinal-v1\package-lock.json", "JSON", 2374, 0, 0, 0, 0, 0, 0, 0, 1, 2375
"c:\Users\15209\Desktop\qhAutoFinal-v1\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\addCars.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\addzip.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\getMake.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\getModel.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\getYears.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 5, 19
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\getZip.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\15209\Desktop\qhAutoFinal-v1\routes\returnZip.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\15209\Desktop\qhAutoFinal-v1\server.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 2, 8, 41
"Total", "-", 729944, 2, 36240, 147, 1, 224, 130, 362, 385, 767435
