"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S3VehicleName.jsx", "JavaScript", 0, 0, 100, 0, 0, 0, 10, 11, 121
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S4VehicleModel.jsx", "JavaScript", 0, 0, 72, 0, 0, 0, 58, 14, 144
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S5PrimaryUse.jsx", "JavaScript", 0, 0, 60, 0, 0, 0, 1, 4, 65
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S6AnnualMileage.jsx", "JavaScript", 0, 0, 73, 0, 0, 0, 1, 5, 79
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S7CoverageLevel.jsx", "JavaScript", 0, 0, 73, 0, 0, 0, 1, 6, 80
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S8Ownership.jsx", "JavaScript", 0, 0, 67, 0, 0, 0, 1, 6, 74
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\S9AddAnother.jsx", "JavaScript", 0, 0, 84, 0, 0, 0, 1, 7, 92
"c:\Users\15209\Desktop\qhAutoFinal\client\src\components\Succeess.jsx", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\15209\Desktop\qhAutoFinal\client\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\15209\Desktop\qhAutoFinal\client\src\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 6, 4, 17
"c:\Users\15209\Desktop\qhAutoFinal\client\src\logo.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\15209\Desktop\qhAutoFinal\client\src\lotties\20164-success.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal\client\src\lotties\21751-circular-progress-bar.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal\client\src\lotties\33657-loading.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal\client\src\lotties\33891-download-count.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\qhAutoFinal\client\src\serviceWorker.js", "JavaScript", 0, 0, 98, 0, 0, 0, 31, 13, 142
